grid_id,lat,lon,elevation,temp,rh,wind_speed
GRID_038,18.2214,99.475,257.0,28.5,65.0,5.2
GRID_039,18.2214,99.4857,261.0,28.5,65.0,5.2
GRID_040,18.2214,99.4964,271.0,28.5,65.0,5.2
GRID_041,18.2214,99.5071,265.0,28.5,65.0,5.2
GRID_042,18.2214,99.5179,279.0,28.5,65.0,5.2
GRID_043,18.2214,99.5286,292.0,28.5,65.0,5.2
GRID_044,18.2214,99.5393,384.0,28.5,65.0,5.2
GRID_045,18.2214,99.55,514.0,28.5,65.0,5.2
GRID_046,18.2321,99.4,224.0,28.5,65.0,5.2
GRID_047,18.2321,99.4107,223.0,28.5,65.0,5.2
GRID_048,18.2321,99.4214,227.0,28.5,65.0,5.2
GRID_049,18.2321,99.4321,227.0,28.5,65.0,5.2
GRID_050,18.2321,99.4429,226.0,28.5,65.0,5.2
GRID_051,18.2321,99.4536,229.0,28.5,65.0,5.2
GRID_052,18.2321,99.4643,240.0,28.5,65.0,5.2
GRID_053,18.2321,99.475,245.0,28.5,65.0,5.2
GRID_054,18.2321,99.4857,262.0,28.5,65.0,5.2
GRID_055,18.2321,99.4964,262.0,28.5,65.0,5.2
GRID_056,18.2321,99.5071,259.0,28.5,65.0,5.2
GRID_057,18.2321,99.5179,271.0,28.5,65.0,5.2
GRID_058,18.2321,99.5286,291.0,28.5,65.0,5.2
GRID_059,18.2321,99.5393,335.0,28.5,65.0,5.2
GRID_060,18.2321,99.55,423.0,28.5,65.0,5.2
GRID_061,18.2429,99.4,228.0,28.5,65.0,5.2
GRID_062,18.2429,99.4107,227.0,28.5,65.0,5.2
GRID_063,18.2429,99.4214,226.0,28.5,65.0,5.2
GRID_064,18.2429,99.4321,220.0,28.5,65.0,5.2
GRID_065,18.2429,99.4429,230.0,28.5,65.0,5.2
GRID_066,18.2429,99.4536,231.0,28.5,65.0,5.2
GRID_067,18.2429,99.4643,233.0,28.5,65.0,5.2
GRID_068,18.2429,99.475,246.0,28.5,65.0,5.2
GRID_069,18.2429,99.4857,244.0,28.5,65.0,5.2
